genes	logFC	logCPM	LR	PValue	FDR						
TCIRG1	0.516238335	7.081998268	8.863540874	0.002909227	0.022452987						
DBNDD1	-0.793249045	1.876636975	8.860017655	0.002914848	0.022481909						
LOC107131359	1.19086227	0.322560867	8.859252281	0.00291607	0.022481909						
EPN1	0.455117852	6.033578041	8.852329526	0.002927151	0.022555365						
MRPL44	0.424170915	4.546033045	8.849509437	0.002931677	0.022578263						
IL3RA	1.008316905	3.088805737	8.847644087	0.002934674	0.022589373						
LOC107131738	-1.144326845	3.802622213	8.840817186	0.002945672	0.022662017						
ZNF462	-0.803813351	4.318100341	8.822305976	0.002975704	0.022880941						
RMND5B	-0.334222555	6.250176353	8.818994619	0.002981109	0.022910373						
CCDC15	-0.36964297	5.72250534	8.817777426	0.002983098	0.022913537						
MB21D2	-0.592510921	4.108309663	8.803595871	0.003006374	0.023080119						
TUBB1	1.168358129	10.42199027	8.802472923	0.003008225	0.02308213						
DDB2	-0.375404595	6.087683616	8.79688548	0.003017452	0.023140705						
ALS2CR12	1.0525814	1.51164554	8.791236867	0.00302681	0.023200216						
MVB12B	-0.497392605	5.144069857	8.787630799	0.003032799	0.023233861						
LOC510185	0.974845371	2.252842106	8.785312885	0.003036655	0.023251139						
PRKCD	0.456666328	6.553027931	8.777896765	0.003049026	0.02333356						
CLU	1.546068682	6.966045893	8.77307682	0.003057093	0.02338298						
RELT	0.836998696	5.493775806	8.771509879	0.003059721	0.023390449						
LEPROTL1	-0.471200225	6.392513718	8.769704736	0.00306275	0.023390449						
REXO2	0.465147357	4.82644564	8.769615076	0.003062901	0.023390449						
SP6	1.26157472	-0.272722653	8.757964395	0.003082529	0.02352301						
EPB41L1	-0.840570158	1.647908511	8.757391165	0.003083498	0.02352301						
TCN1	1.099640273	6.127261228	8.755327306	0.00308699	0.023537283						
LOC508858	1.697717242	2.866496834	8.749206469	0.003097368	0.023604025						
PRODH	0.411667659	5.636735363	8.741161546	0.003111063	0.023695956						
WDR41	-0.43579614	6.300688494	8.738903879	0.003114917	0.023712878						
GRIN3A	0.924074968	2.980505142	8.734958455	0.003121664	0.02374488						
3-Mar	0.910710398	0.815782678	8.734534369	0.00312239	0.02374488						
EPC1	-0.292189381	6.87676575	8.729384095	0.003131223	0.023799585						
SBK1	-0.685464365	2.494514443	8.727822594	0.003133905	0.023803382						
C7H5orf15	0.359441413	6.337595817	8.727186001	0.003135	0.023803382						
LOC104975742	1.753045377	-0.130381123	8.72463519	0.003139389	0.023824254						
HSDL2	0.341808234	5.207999189	8.722800617	0.003142549	0.023835786						
SURF4	0.306807208	6.270594982	8.709313276	0.003165884	0.024000246						
ZNF354C	-0.975856461	0.899172562	8.708039884	0.003168097	0.024004488						
GIN1	-0.45276476	3.984106688	8.705488996	0.003172533	0.024025569						
ZNF862	0.405778606	4.549767162	8.694946395	0.003190935	0.024152335						
CTIF	0.61824875	4.388840453	8.689897239	0.003199787	0.024206719						
BLOC1S5	0.310543216	5.18887141	8.683384708	0.003211241	0.024280723						
DGKE	-0.436405657	4.798723036	8.681688238	0.003214231	0.02429069						
VAMP1	-0.589695638	3.768804294	8.670931774	0.003233258	0.024421777						
ZBTB7B	0.449220313	6.653884409	8.669566699	0.003235681	0.024427375						
SYNPO2	1.1354576	3.909698919	8.664552725	0.003244596	0.024481954						
EMC3	0.424793165	6.810275275	8.663418401	0.003246617	0.024482473						
NAMPT	0.441900526	5.82739025	8.662491551	0.003248268	0.024482473						
LOC104976233	-0.870459718	3.568129575	8.66167647	0.003249722	0.024482473						
GAREM1	-0.883496804	2.151118345	8.66013948	0.003252464	0.02449043						
LOC104973929	-2.09293001	-0.635075726	8.655963177	0.003259927	0.024530656						
NPTX1	1.836900435	-0.957253031	8.654849616	0.00326192	0.024530656						
WNK2	0.836852185	1.871306588	8.654317457	0.003262873	0.024530656						
LHPP	0.559220761	4.645793041	8.652211518	0.003266646	0.024535468						
BLM	-0.415536389	4.371296382	8.651303859	0.003268274	0.024535468						
LOC787554	-0.407259535	5.905895149	8.651132985	0.00326858	0.024535468						
ECM2	-1.077267686	0.885375695	8.640811879	0.003287149	0.024662108						
CCL8	2.09454376	-1.385739795	8.639402219	0.003289694	0.024663417						
TEF	-0.450130745	4.36602929	8.638573501	0.00329119	0.024663417						
RAD9B	-0.876196747	1.031429459	8.637109464	0.003293836	0.024663417						
DHX57	-0.459695978	5.589900717	8.636651616	0.003294664	0.024663417						
LOC534913	-0.658693599	3.48700118	8.636016129	0.003295814	0.024663417						
POC5	-0.399044412	4.602191882	8.633582678	0.003300219	0.024683667						
ADA	0.674389636	5.072237615	8.630523493	0.003305766	0.024710515						
PHKA1	0.444658664	4.756892037	8.629548977	0.003307535	0.024710515						
LOC525286	-1.469295634	-0.273259344	8.628790324	0.003308912	0.024710515						
NXPE3	-0.395722291	6.200766133	8.622518423	0.003320325	0.024782999						
RAB32	0.564945803	4.904614819	8.618755669	0.003327191	0.024821491						
SAC3D1	0.741500202	1.858070271	8.617740467	0.003329046	0.02482258						
STRIP2	0.984569404	4.78596109	8.612243099	0.003339108	0.024870941						
ADCYAP1R1	-0.471972944	6.05742626	8.611241494	0.003340945	0.024870941						
SQRDL	0.432822029	7.549780632	8.610831067	0.003341698	0.024870941						
LOC507756	-1.300838831	0.76066801	8.610459049	0.003342381	0.024870941						
LOC107131168	-0.488793649	6.390588872	8.605995879	0.003350581	0.024906799						
C14H8orf76	-0.373126439	4.583584722	8.60527439	0.003351909	0.024906799						
CTSA	0.416381883	6.824097476	8.604804599	0.003352773	0.024906799						
RGS3	-0.402156356	6.127823408	8.604106692	0.003354058	0.024906799						
MTURN	0.744456252	6.971167598	8.592358903	0.003375764	0.025055175						
ASCL2	1.599268772	-0.177974615	8.580907354	0.003397061	0.025200231						
RBM38	0.414576586	6.483554472	8.579191545	0.003400263	0.025200231						
CAPN3	-1.084893977	2.289921059	8.579057695	0.003400513	0.025200231						
ANKRD26	-0.469220801	4.484181589	8.57342345	0.003411052	0.02526544						
SLC35G1	0.48443029	4.263693735	8.571524884	0.003414611	0.025278908						
UBASH3B	-0.57984641	4.171384421	8.570167584	0.003417157	0.025284873						
CLEC10A	1.574496565	-0.019549303	8.569076645	0.003419205	0.025287146						
LMBRD1	0.357131472	5.322373135	8.567737407	0.003421721	0.025292875						
PARP9	0.504329304	6.788636331	8.565612347	0.003425717	0.025294017						
DDX19B	0.355636758	5.822956334	8.565541475	0.003425851	0.025294017						
ZBTB5	-0.459658363	3.725071461	8.564240328	0.0034283	0.025294017						
IL16	-0.315872755	7.150838698	8.563952856	0.003428841	0.025294017						
ZDHHC14	0.639520575	3.896309637	8.552832666	0.00344985	0.025436076						
GAPT	-0.622020992	6.179608801	8.547737372	0.00345952	0.025487527						
DOCK9	0.438396069	6.022068621	8.547307085	0.003460338	0.025487527						
SREBF1	0.482381788	5.505313582	8.542358542	0.003469757	0.025543957						
IFIT5	0.983417594	6.499420979	8.54101709	0.003472316	0.025549839						
ATP6V0E1	0.519047531	7.40975656	8.537077454	0.003479839	0.025592235						
LOC107131558	1.632606584	0.686191428	8.534180066	0.003485383	0.025620035						
PLEKHA5	0.75360193	3.130398313	8.531758476	0.003490023	0.025641168						
PPP1R9A	0.805221947	2.938247669	8.529960802	0.003493472	0.025653531						
LOC101906086	-0.803111249	1.807192722	8.529019015	0.00349528	0.025653839						
LPIN2	0.374455039	6.604172036	8.52765202	0.003497907	0.025660149						
USP31	0.455268533	4.014539012	8.52639889	0.003500316	0.025664861						
CDCA7	-0.362317387	7.547047253	8.515991992	0.00352039	0.025799021						
NKAIN3	1.864090434	-0.866501088	8.509040521	0.003533863	0.025884703						
LOC101907707	-1.380895446	1.68057647	8.505767726	0.003540225	0.025918231						
SNX24	0.663715414	3.62808927	8.503025235	0.003545565	0.025944247						
LOC101905239	-1.27526683	3.693874889	8.501515768	0.003548507	0.025944415						
SLC39A1	0.4016048	5.304532611	8.501181087	0.00354916	0.025944415						
ATG12	0.328555194	5.545858142	8.497249221	0.003556838	0.025987461						
TLR8	0.719380708	6.785957789	8.493863555	0.003563463	0.026022774						
TOMM40L	0.528830551	3.627206059	8.488925219	0.003573148	0.026080391						
BSN	0.907445483	1.192031362	8.487697226	0.003575561	0.026084893						
FUK	0.409542795	4.853175402	8.482605948	0.003585581	0.026144863						
ARRDC4	0.72703108	6.004598053	8.480084638	0.003590554	0.026158141						
FXYD7	-0.943239253	1.500414969	8.47985665	0.003591004	0.026158141						
TRIM65	0.406550886	5.531965555	8.473645365	0.003603286	0.026234452						
PTPRR	0.837044177	2.602010885	8.468937381	0.003612624	0.026269487						
LOC101903997	-1.095303945	0.58273827	8.468818974	0.003612859	0.026269487						
ATP5J2	0.557390043	5.741474103	8.46848434	0.003613524	0.026269487						
F11R	1.186518454	5.552610228	8.467295176	0.003615887	0.026273517						
BRAF	-0.41935892	5.770542145	8.466349875	0.003617767	0.026274031						
LOC100851323	0.995184863	0.705012961	8.458571974	0.00363327	0.026373437						
G2E3	-0.413543738	5.927718015	8.455433189	0.003639546	0.026400788						
PRKD3	-0.389595594	8.334343159	8.454454412	0.003641505	0.026400788						
NIPAL4	-0.670166029	3.227236034	8.453961978	0.003642491	0.026400788						
CRYBB1	-0.770218827	4.509518277	8.446512988	0.00365744	0.02649592						
LOC515333	0.526092318	5.414308724	8.444152693	0.00366219	0.026506754						
FRMD4A	0.844199302	2.094590977	8.443597035	0.003663309	0.026506754						
FBXO36	-0.690607894	2.03322349	8.44243533	0.00366565	0.026506754						
ITPRIPL1	0.448654439	5.214082512	8.442145063	0.003666235	0.026506754						
NIPAL1	-0.623621942	6.058543386	8.433883953	0.003682929	0.026614197						
KCTD15	-1.062067971	2.04641746	8.431576582	0.003687605	0.026634739						
GOT1	0.308467212	5.07624924	8.425301281	0.003700353	0.026704215						
TRANK1	0.854547048	7.86680637	8.425032218	0.003700901	0.026704215						
ADGRL1	-0.625221877	4.778287593	8.396061812	0.003760348	0.027119689						
ZNF311	-0.788128689	2.75479149	8.391674782	0.003769434	0.027171729						
ELK3	0.291713298	6.188374096	8.378254512	0.003797369	0.02735952						
ALPK2	0.833970003	2.545665918	8.377108426	0.003799765	0.027363205						
PDIA5	0.48283078	5.082047384	8.374068112	0.003806127	0.02739394						
PPP2R5A	-0.290532909	7.717475872	8.373134078	0.003808083	0.02739394						
RIBC1	-1.071137488	0.62291619	8.372202595	0.003810036	0.02739394						
BLCAP	0.37531399	6.740498015	8.371467623	0.003811577	0.02739394						
TREML2	0.401718951	8.561545374	8.369238935	0.003816254	0.027413991						
LOC100337355	0.884626744	0.883058823	8.363889221	0.003827505	0.027470085						
C17H4orf46	-0.494623041	3.119926109	8.363727714	0.003827845	0.027470085						
HSPB11	0.522299778	3.367447074	8.358725564	0.003838397	0.027511795						
LOC100336412	-1.366219349	0.108891145	8.35851474	0.003838842	0.027511795						
MS4A14	-1.599335954	0.123463202	8.358093658	0.003839732	0.027511795						
COX6A1	0.551902644	7.321103424	8.357383042	0.003841234	0.027511795						
CR2	-0.604937666	6.619028896	8.355013916	0.003846245	0.027523878						
LOC101901963	7.055547131	-1.462269382	8.354705451	0.003846898	0.027523878						
CAPG	-0.596270144	6.065196646	8.353899199	0.003848606	0.027523878						
C25H7orf50	-0.604602663	6.076325333	8.346738154	0.003863804	0.02761149						
LOC614705	0.808859962	1.004148463	8.346282911	0.003864772	0.02761149						
RAP1B	0.391145746	9.012402497	8.345442832	0.003866559	0.02761149						
MICAL1	-0.52741971	6.059750184	8.340669694	0.003876731	0.027670521						
LOC789996	-0.609744085	3.520939642	8.337752687	0.00388296	0.027701372						
LOC107132327	1.112466463	0.097317519	8.334574847	0.003889758	0.027736247						
LOC104974328	-1.095248165	2.187042557	8.328148127	0.003903543	0.027820885						
DEPTOR	1.273529611	0.582327627	8.325603051	0.003909016	0.027846227						
PSMA2	0.422707603	6.814919325	8.323576643	0.003913379	0.027863642						
INO80C	-0.31568494	5.091528564	8.314826785	0.003932275	0.027984468						
TRIM38	0.470745419	6.327401682	8.309568267	0.003943676	0.028051861						
OAS1X	1.851363793	5.185292656	8.300101984	0.003964285	0.028171188						
RBM25	0.393086146	8.162580118	8.300081	0.003964331	0.028171188						
GZMK	1.40019482	0.610401364	8.298952934	0.003966794	0.028174908						
NSRP1	0.423885102	6.231738351	8.292954605	0.003979918	0.028254307						
TRABD2B	-0.768334329	2.805308525	8.29134541	0.003983446	0.02826554						
PPFIA1	0.282591685	5.733955465	8.289672073	0.003987119	0.028277784						
DGKZ	-0.358409474	7.726648379	8.286010999	0.003995165	0.028321024						
IQGAP2	-0.446462611	7.315223379	8.281171805	0.004005827	0.028377609						
TEX2	0.422695249	4.90350348	8.280615173	0.004007055	0.028377609						
LOC506181	-1.091734871	0.794128049	8.273627535	0.004022506	0.028473146						
ARL6IP5	0.435041667	6.553462211	8.270827574	0.004028714	0.0285032						
ASUN	-0.361968573	6.081701832	8.267071629	0.004037057	0.028548321						
TNFSF14	-0.504355466	6.044921253	8.26172233	0.00404897	0.028606147						
LOC101908561	-1.125025546	0.75946605	8.261631111	0.004049173	0.028606147						
ZNF286A	-0.502159382	3.996147339	8.25930695	0.00405436	0.028628869						
ABI3	0.562033487	4.446097557	8.258128147	0.004056994	0.028633545						
RABL3	0.394411154	4.01016763	8.256080941	0.004061572	0.028651931						
ZBTB32	-0.749127634	5.277965004	8.253202621	0.004068017	0.028683467						
ALAD	-0.731393392	4.323433755	8.247403187	0.004081034	0.028761292						
LOC101907852	-0.753492415	2.849650883	8.245041151	0.004086348	0.028784776						
GALK2	0.371956797	5.011773245	8.242914211	0.004091139	0.028804556						
MSH2	-0.341878201	6.102976226	8.234218576	0.004110787	0.028928865						
LOC786297	-1.128110812	1.756696547	8.227925597	0.004125065	0.02901529						
LOC100848212	0.459758623	5.683865037	8.221515862	0.004139661	0.029103858						
TRIP4	-0.363403088	5.694547674	8.218840183	0.004145769	0.029132701						
CTNND1	0.577791625	4.524420314	8.214261788	0.004156242	0.029192174						
ATP5G3	0.525494681	6.587667008	8.207308663	0.004172199	0.029275887						
HTR7	0.879052649	0.615735985	8.207209973	0.004172426	0.029275887						
GGACT	-0.8140085	1.513542509	8.206435402	0.004174207	0.029275887						
HARS2	-0.342637088	5.502307254	8.199956495	0.004189139	0.029366433						
PMF1	-0.480923719	5.183722211	8.186270692	0.00422086	0.029574528						
MAPK14	0.365712537	7.937202463	8.184776773	0.004224338	0.029584621						
CD274	1.666282633	5.46918022	8.178068904	0.004239987	0.029679912						
ASH2L	-0.372866889	6.028944346	8.166958786	0.004266038	0.029831248						
BMP2K	0.340363659	6.883182325	8.164838225	0.004271028	0.029831248						
PROK2	-1.635810002	0.25971194	8.164802484	0.004271112	0.029831248						
TST	-0.548911489	3.6142668	8.164019019	0.004272958	0.029831248						
RPL22L1	-0.452436425	6.995723935	8.163551146	0.00427406	0.029831248						
MSH6	-0.353759222	6.859962362	8.163083583	0.004275162	0.029831248						
ERAP2	0.587512884	7.286962358	8.162735284	0.004275983	0.029831248						
CDC25B	-0.406730487	8.237052032	8.159413932	0.004283821	0.029871581						
NLGN3	-0.863739967	1.534538417	8.157343003	0.004288716	0.029882895						
LOC100848893	0.732553892	3.041872698	8.156986668	0.004289558	0.029882895						
ADARB1	1.090397453	3.285141932	8.155672899	0.004292667	0.029890215						
NFATC3	-0.379359902	6.703148214	8.153083774	0.0042988	0.029918576						
LOC789229	-0.466854552	6.672477189	8.13957289	0.004330948	0.030127886						
NOXA1	-0.606018093	3.830882749	8.13530478	0.004341155	0.030184431						
RUNDC3B	-0.919952241	0.935248144	8.132651797	0.004347512	0.030214165						
GGT1	-0.788636783	1.83099387	8.127781705	0.004359205	0.030280943						
PADI3	-0.989548088	1.85664833	8.124896775	0.004366147	0.030314668						
LOC107132949	1.525545192	-0.436110242	8.122912734	0.004370928	0.030324024						
LOC107132783	-1.075331532	3.480078956	8.122235543	0.004372561	0.030324024						
ADM2	-0.843913939	1.726388914	8.121739306	0.004373758	0.030324024						
TRAF3IP3	-0.342708972	8.11684972	8.118359142	0.00438192	0.030366122						
AGL	-0.594910089	4.487022411	8.110769407	0.004400305	0.030478981						
UBE2L6	0.842961398	5.594832252	8.106451355	0.004410799	0.030528707						
LOC104976580	2.244295964	-0.842170398	8.106086463	0.004411687	0.030528707						
LOC101903098	-1.060564751	0.511685152	8.103647538	0.004417627	0.030550306						
TGFA	-0.863764593	4.600389065	8.103078144	0.004419015	0.030550306						
PARP2	-0.455820179	3.724024054	8.089155245	0.004453091	0.030771243						
ZBTB4	-0.42470527	6.554081372	8.086992016	0.00445841	0.03079104						
MIS12	0.383247766	4.163327401	8.086266069	0.004460196	0.03079104						
VASH1	0.73290645	4.266766438	8.084482772	0.004464587	0.030806712						
LGALSL	0.802608722	7.206478597	8.080526127	0.004474345	0.030849068						
RBL2	-0.351530989	7.523319463	8.08027186	0.004474973	0.030849068						
CTDSPL2	-0.349414641	6.538486106	8.076267676	0.004484872	0.030902642						
GKAP1	0.477220151	4.114851625	8.072396605	0.004494463	0.030954044						
GAS8	-0.59567585	2.916830556	8.069911068	0.004500633	0.030981843						
FAM69A	0.46986715	4.208245476	8.063514043	0.00451655	0.031071817						
FGF11	-0.960845164	0.912153859	8.062940014	0.004517981	0.031071817						
ZBTB7A	0.35902207	5.673785364	8.061350525	0.004521946	0.031084369						
RBL1	-0.4137579	6.121093955	8.059531837	0.004526488	0.031091359						
CD248	-1.633131584	-0.233890774	8.059229063	0.004527244	0.031091359						
FBXW8	-0.617102659	3.690614145	8.051270431	0.004547176	0.031213481						
KLRD1	-1.026542423	5.288879026	8.04265976	0.00456884	0.031347382						
IRF5	0.387229836	7.504971123	8.037770583	0.004581189	0.031411061						
SLC16A5	0.685665539	4.516706413	8.037273199	0.004582447	0.031411061						
ITSN1	0.520007908	4.234446447	8.034836649	0.004588615	0.031413089						
HS6ST1	0.593137472	4.300771072	8.034331881	0.004589894	0.031413089						
HHEX	-0.372640774	5.834396689	8.034157941	0.004590334	0.031413089						
EPN3	1.427170261	0.33167202	8.033217745	0.004592718	0.031413089						
LOC104975377	-1.675953943	-0.344148456	8.032236221	0.004595207	0.031413089						
PAQR7	-1.346123504	0.284011814	8.031366497	0.004597414	0.031413089						
DNAJC1	0.470681428	6.056933449	8.031182408	0.004597881	0.031413089						
PROCA1	-0.590991891	2.760554267	8.01637458	0.004635628	0.031656084						
RCCD1	-0.439424385	3.987835309	8.014615007	0.004640134	0.031671965						
LOC101909736	-2.753347512	0.259411578	8.01151294	0.004648089	0.031711362						
EXD3	-0.665915819	3.247079041	8.004608971	0.004665844	0.031817549						
ZDHHC5	0.331946421	6.165150813	8.00109203	0.004674915	0.031854205						
LOC789626	0.989290492	1.223540178	8.000824613	0.004675605	0.031854205						
ENOPH1	0.429004765	5.940889947	7.99545262	0.004689498	0.031933874						
PHF2	0.444127966	6.027813581	7.982927624	0.004722052	0.032140488						
IRF1	0.727341458	9.373385507	7.979196315	0.004731794	0.032191716						
GPR158	1.413746597	-0.750849725	7.973697427	0.00474619	0.032268374						
ADAP1	0.367613142	6.199265454	7.97319565	0.004747505	0.032268374						
LOC101902721	-0.957747836	2.161670546	7.968185927	0.004760663	0.032342667						
GPCPD1	-0.487072873	8.235061025	7.966149586	0.004766021	0.032363936						
SH3GLB1	0.366280621	5.742802903	7.962722427	0.004775054	0.03241012						
LOC101907926	-0.930884992	1.212915216	7.957042676	0.004790062	0.032496799						
LOC540014	-0.394355272	4.452909363	7.950491953	0.004807431	0.032571552						
TMEM107	-1.066663874	0.486391371	7.950424198	0.004807611	0.032571552						
LOC104968476	-0.517733771	5.563939145	7.949730466	0.004809454	0.032571552						
PRKCG	-1.571422367	-0.303815283	7.949506081	0.00481005	0.032571552						
HMBS	0.399512271	4.054046311	7.94808928	0.004813817	0.032581872						
ESYT3	1.366738988	1.900442346	7.943854361	0.004825095	0.032642995						
WC1	-0.996517928	4.182015212	7.938029368	0.004840652	0.032732994						
LOC101902029	1.931819483	-0.659118383	7.934991416	0.004848786	0.032772737						
MSRB2	-0.550266671	3.25149601	7.934016341	0.004851399	0.032775151						
FANCE	-0.521887436	3.467711565	7.931310956	0.004858658	0.032782864						
PLAGL2	0.396916086	5.354235275	7.930439182	0.004861	0.032782864						
KLRJ1	-2.527608322	-0.784180518	7.930369076	0.004861188	0.032782864						
NAPSA	-0.458407518	6.823241285	7.93022732	0.004861569	0.032782864						
FAM46A	0.485230841	6.297621294	7.926865241	0.004870611	0.032828595						
ATP6V1E1	0.422666703	7.09841136	7.925860012	0.004873318	0.032831604						
CCDC106	-0.730915757	2.864331848	7.922802924	0.004881559	0.032867375						
LRCH1	0.389142515	4.581984324	7.9222122	0.004883153	0.032867375						
ZNF10	-0.579922853	3.609783698	7.917313999	0.004896391	0.032941215						
BMF	-0.443934071	5.97297529	7.91404709	0.004905241	0.032985475						
PYGL	0.655756048	8.524273574	7.910676547	0.004914389	0.033027342						
CDH1	-1.34296618	1.270629893	7.909339375	0.004918023	0.033027342						
ZGRF1	-0.471593774	4.356913629	7.90924155	0.004918289	0.033027342						
HS3ST6	-1.14648428	0.352716947	7.904783974	0.004930423	0.033093527						
LOC786389	1.760963601	-0.066807225	7.896722898	0.004952444	0.033224096						
IFT80	-0.424168304	4.914200493	7.895317607	0.004956293	0.033224096						
GLE1	-0.348816891	5.312174348	7.895155471	0.004956738	0.033224096						
LOC101904784	-1.714179505	-0.107966646	7.892601535	0.004963742	0.033248866						
RAB27A	0.746615821	8.746532555	7.891630099	0.004966408	0.033248866						
LOC104972612	-2.797397412	1.000313299	7.891305224	0.004967301	0.033248866						
ANXA6	-0.342411307	8.311147408	7.889845214	0.004971312	0.033258387						
SCN9A	1.510426525	0.816490778	7.888411155	0.004975255	0.033258387						
PDCL	-0.461239849	5.945638053	7.8882887	0.004975592	0.033258387						
FAM84A	-1.927392894	2.090302162	7.885928978	0.004982088	0.03328649						
GATSL2	-0.422585467	5.738511636	7.882002094	0.004992917	0.033343507						
MGAT1	0.298396594	6.350096519	7.880941804	0.004995846	0.033347729						
IVNS1ABP	-0.421917581	7.98768665	7.874280867	0.005014281	0.03345541						
NUDT12	-0.522095425	5.122346325	7.868579326	0.005030116	0.033545652						
LOC100848921	-1.268465363	0.298887264	7.857374671	0.005061383	0.033738683						
MAGED1	-0.417385426	5.243412057	7.847732575	0.005088449	0.03390354						
SEMA4F	0.634758746	2.998981453	7.845122708	0.0050958	0.033936953						
SERPINI1	0.483679062	4.436395867	7.840542098	0.005108728	0.034007461						
CALHM2	-0.45581144	4.055409685	7.837749586	0.005116626	0.034044434						
LOC100300806	-0.773451565	6.890583051	7.836411091	0.005120417	0.034054053						
ST6GALNAC6	0.571057073	3.576439529	7.83107328	0.00513556	0.034139132						
LOC107131826	-0.602290038	2.831041709	7.827537381	0.005145616	0.034190334						
MFSD1	0.34881074	5.471801119	7.826624454	0.005148216	0.034191967						
MICU3	0.583620587	3.367068528	7.82281976	0.005159064	0.034235182						
ZNF469	-1.506150621	-0.215138276	7.82268941	0.005159436	0.034235182						
MED28	0.685967976	4.038358576	7.815551008	0.005179855	0.034351587						
RMDN1	-0.441279827	4.606971201	7.81490426	0.005181709	0.034351587						
NFIC	0.438988378	4.0478219	7.81311464	0.005186843	0.034369935						
FAM109A	0.896467506	1.027719373	7.808880473	0.00519901	0.034434849						
PRDX3	0.301684255	6.667147571	7.803220631	0.00521532	0.034527127						
HIP1R	-0.384482483	7.063607204	7.801466275	0.005220386	0.03454492						
LOC104972052	1.263936258	3.593430767	7.789470615	0.005255159	0.034759192						
TXN	0.552972507	5.609384432	7.785779326	0.005265907	0.03479903						
KATNAL1	-0.471692415	3.900238996	7.785756466	0.005265974	0.03479903						
LOC101902135	1.33413387	-0.528030412	7.784477585	0.005269703	0.034807836						
LOC510382	2.394592884	6.366172019	7.780712353	0.005280697	0.034864602						
CBX7	-0.609801365	5.103257994	7.776846691	0.005292009	0.034923412						
CASS4	-0.696338034	4.037686152	7.772894998	0.005303598	0.034983998						
MLLT6	-0.362408233	8.047058071	7.771674473	0.005307183	0.034991753						
SEMA4D	0.589516033	8.20130781	7.770176372	0.005311586	0.035004896						
LOC789748	0.651996609	5.490355449	7.766392763	0.005322724	0.035062387						
MSL3	-0.279158329	6.533103179	7.763112219	0.0053324	0.035110203						
TMEM230	0.325933235	6.27732508	7.758819403	0.005345089	0.035177804						
TPM2	0.581296747	4.914740401	7.751019668	0.005368222	0.035314053						
LOC512617	1.055862677	0.212343304	7.738964897	0.005404177	0.035534482						
CUX1	0.352264621	6.737798223	7.733230365	0.005421367	0.035631383						
INTS7	-0.35832383	5.951950503	7.731247321	0.005427324	0.035654404						
LOC107133237	-0.982731149	1.49951244	7.726509408	0.005441585	0.035728432						
LOC512150	0.408258452	5.114249691	7.72586994	0.005443512	0.035728432						
OTUB2	0.821557786	0.697758842	7.720906419	0.005458498	0.03581061						
TNIP3	0.8088776	2.612231627	7.713936669	0.005479613	0.035931283						
LOC107132456	-3.658771603	-1.099058773	7.713203095	0.00548184	0.035931283						
LOC107132077	2.164910041	-0.306248287	7.709506185	0.005493078	0.035988702						
ERO1B	-0.490662679	6.318357461	7.704762647	0.005507531	0.03606713						
SEC24C	0.31177985	6.777943254	7.699445296	0.00552378	0.036157234						
SLAIN1	-0.506593315	3.543731749	7.698002209	0.005528198	0.036169854						
DYRK2	-0.401249976	7.250075022	7.696367916	0.005533206	0.036174707						
SLC16A11	0.873195182	1.53544028	7.696134699	0.005533921	0.036174707						
TRAF5	-0.423258261	6.162968353	7.694254632	0.005539688	0.036196119						
LOC100847284	-0.45201498	4.702037412	7.688563396	0.005557185	0.036294112						
C6H4orf32	0.409390086	4.837597921	7.685601243	0.005566313	0.036337393						
GEN1	-0.59106285	5.100102965	7.683411474	0.005573071	0.036365167						
LOC618367	0.802663789	5.880549817	7.679124982	0.005586325	0.03643528						
BTBD19	1.012246949	0.616961086	7.67016723	0.005614125	0.036600167						
BTG1	-0.371976127	9.496238709	7.667709007	0.005621779	0.036633621						
IL22RA2	-1.594918223	1.346401085	7.662102771	0.005639274	0.036722254						
IRF7	0.879783802	5.677699463	7.661730729	0.005640437	0.036722254						
GRAMD1A	-0.379221022	5.405350835	7.655664018	0.005659436	0.036829437						
LUC7L	-0.406694765	7.925382994	7.653330699	0.00566676	0.036860587						
DAZAP2	0.396375306	8.818899786	7.642562416	0.005700688	0.037064678						
ZNF283	-0.426843531	4.676620531	7.641459095	0.005704176	0.037070762						
ZNF398	-0.440398669	4.163245432	7.635940924	0.005721653	0.037159748						
PPIL4	-0.379287601	5.6149827	7.63548484	0.0057231	0.037159748						
GPR31	1.14687132	0.644260316	7.634714963	0.005725543	0.037159748						
CD68	0.706097719	5.844779856	7.633168434	0.005730455	0.037175013						
SLC22A15	-0.560752236	3.856259532	7.630693943	0.005738322	0.037209432						
LOC789732	-1.93239674	0.358238731	7.629734689	0.005741375	0.037212614						
PLXDC2	0.559361166	4.657147605	7.628478662	0.005745375	0.037221929						
LOC786798	0.731972091	1.20017472	7.627416643	0.005748759	0.037227249						
OTUD7B	-0.51580833	4.306387092	7.618386408	0.005777616	0.037397448						
LOC100335918	1.697742067	1.861618874	7.613852019	0.005792162	0.037457339						
DUSP19	-0.540433981	4.681776788	7.612653433	0.005796013	0.037457339						
RENBP	0.466942631	5.477835274	7.612626058	0.005796101	0.037457339						
P4HTM	-0.477347074	3.499062374	7.61228922	0.005797184	0.037457339						
SWT1	-0.347842609	5.453104773	7.61051555	0.005802889	0.037476692						
LOC104971979	-1.5646837	-0.451192008	7.60975423	0.00580534	0.037476692						
LOC100295221	-0.971786978	1.444718232	7.605274661	0.00581978	0.037551065						
LOC104968424	1.150663932	3.261909965	7.604431266	0.005822503	0.037551065						
